investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV002455,2023-05-29,119598,SIP,167800,Karnataka,Bangalore,T30,26-35,Female,148.0,Net Banking,Verified
INV009382,2023-07-18,118456,SIP,171375,Telangana,Hyderabad,T30,26-35,Male,3.7,Cheque,Verified
INV003615,2022-07-30,148924,Redemption,496462,Odisha,Bhubaneswar,B30,56+,Male,7.7,UPI,Verified
INV005593,2025-04-04,120679,Redemption,340109,Kerala,Kochi,T30,36-45,Female,25.7,Cheque,Pending
INV009357,2024-08-10,125124,SIP,340200,Rajasthan,Jaipur,B30,26-35,Female,60.3,UPI,Verified
INV002915,2025-08-26,118989,Redemption,468364,Haryana,Faridabad,B30,18-25,Female,121.5,Net Banking,Verified
INV009688,2025-06-04,120503,SIP,269383,Haryana,Faridabad,B30,56+,Male,131.9,Net Banking,Verified
INV005324,2022-06-19,119093,SIP,138690,Punjab,Amritsar,B30,26-35,Female,17.6,Net Banking,Verified
INV005245,2023-05-26,148924,Redemption,198879,Telangana,Hyderabad,T30,46-55,Female,110.6,Mandate,Verified
INV001775,2024-01-16,148923,Lumpsum,451669,UP,Lucknow,B30,18-25,Female,61.3,Net Banking,Verified
INV006433,2023-07-04,118990,SIP,493898,Haryana,Faridabad,B30,46-55,Male,37.9,Mandate,Pending
INV001956,2025-12-30,119552,SIP,14223,West Bengal,Kolkata,B30,26-35,Female,100.5,Mandate,Pending
INV005096,2022-05-14,119271,SIP,96193,Telangana,Hyderabad,T30,36-45,Male,102.9,UPI,Pending
INV009001,2025-02-10,120842,SIP,222340,MP,Bhopal,B30,26-35,Female,112.8,Cheque,Verified
INV004800,2022-10-17,120841,SIP,145630,Delhi,Delhi,T30,26-35,Male,143.5,Net Banking,Verified
INV007743,2022-09-26,118633,SIP,486230,Haryana,Faridabad,B30,26-35,Male,119.5,UPI,Verified
INV009489,2022-12-15,120679,SIP,163682,Telangana,Hyderabad,T30,46-55,Male,81.7,Mandate,Pending
INV007299,2022-01-12,120503,SIP,104342,Kerala,Kochi,T30,56+,Female,51.5,UPI,Verified
INV003908,2025-06-22,119552,SIP,186502,West Bengal,Kolkata,B30,18-25,Male,140.1,UPI,Pending
INV009735,2025-06-30,118989,SIP,338400,West Bengal,Kolkata,B30,46-55,Female,18.3,Net Banking,Verified
INV008584,2024-11-23,148924,Redemption,14159,Telangana,Hyderabad,T30,56+,Male,143.0,UPI,Verified
INV004869,2025-09-27,119093,SIP,54066,Karnataka,Bangalore,T30,36-45,Female,76.3,Net Banking,Verified
INV004936,2023-01-07,125498,SIP,444343,Tamil Nadu,Chennai,T30,26-35,Female,81.2,Mandate,Verified
INV009356,2024-09-26,120190,Redemption,111357,Odisha,Bhubaneswar,B30,36-45,Female,15.2,Mandate,Verified
INV003277,2025-09-10,120466,Redemption,281396,Karnataka,Bangalore,T30,56+,Female,30.2,Net Banking,Verified
INV008966,2024-12-05,120842,Redemption,470767,Maharashtra,Mumbai,T30,56+,Female,81.6,UPI,Verified
INV007370,2023-02-19,120841,SIP,87606,Tamil Nadu,Chennai,T30,36-45,Female,123.7,Mandate,Verified
INV002398,2025-05-19,120679,SIP,283763,Bihar,Patna,B30,18-25,Male,131.7,Mandate,Verified
INV002797,2023-04-23,125498,SIP,326621,Bihar,Patna,B30,46-55,Female,35.9,Mandate,Verified
INV001975,2025-02-23,118456,SIP,121978,Kerala,Kochi,T30,46-55,Male,58.9,Cheque,Verified
INV002518,2025-07-29,120503,Redemption,343015,Odisha,Bhubaneswar,B30,56+,Female,125.5,Net Banking,Verified
INV001629,2025-01-07,118990,Lumpsum,270678,UP,Lucknow,B30,56+,Female,56.7,UPI,Verified
INV007336,2024-08-27,119271,Redemption,241706,Maharashtra,Mumbai,T30,26-35,Male,92.7,Mandate,Verified
INV003909,2024-11-16,125498,SIP,233323,Haryana,Faridabad,B30,18-25,Male,128.4,Cheque,Verified
INV004178,2024-04-03,125498,SIP,487848,West Bengal,Kolkata,B30,56+,Female,120.8,Net Banking,Verified
INV008384,2023-06-11,125497,SIP,181068,Haryana,Faridabad,B30,18-25,Male,125.4,UPI,Pending
INV009785,2022-03-09,119093,SIP,171599,Haryana,Faridabad,B30,56+,Male,91.4,Cheque,Pending
INV001120,2023-11-08,125497,SIP,397086,Telangana,Hyderabad,T30,36-45,Male,102.1,Net Banking,Pending
INV009402,2025-06-05,119084,Redemption,409844,MP,Bhopal,B30,46-55,Male,90.5,UPI,Verified
INV004261,2022-03-24,120678,Redemption,214315,Bihar,Patna,B30,36-45,Male,9.9,Cheque,Verified
INV006560,2022-06-25,120841,SIP,242858,Tamil Nadu,Chennai,T30,56+,Female,103.0,Cheque,Verified
INV006867,2025-05-29,120465,SIP,41131,Tamil Nadu,Chennai,T30,56+,Female,104.3,Mandate,Pending
INV009427,2025-05-15,120679,SIP,270386,Rajasthan,Jaipur,B30,36-45,Male,72.2,UPI,Pending
INV004671,2024-12-29,119551,SIP,196243,Bihar,Patna,B30,18-25,Female,19.8,Cheque,Pending
INV007944,2024-04-23,119092,Lumpsum,87397,Telangana,Hyderabad,T30,18-25,Female,139.3,Net Banking,Verified
INV003278,2024-11-17,118989,SIP,253119,Odisha,Bhubaneswar,B30,18-25,Male,125.3,Net Banking,Verified
INV004948,2022-01-14,125498,SIP,784,Odisha,Bhubaneswar,B30,26-35,Male,135.1,Net Banking,Pending
INV008593,2025-06-21,120503,Redemption,477713,Telangana,Hyderabad,T30,18-25,Female,23.8,Net Banking,Verified
INV004927,2025-12-29,118456,Lumpsum,357951,Karnataka,Bangalore,T30,36-45,Male,24.4,Cheque,Pending
INV007204,2024-05-14,120504,SIP,288914,Rajasthan,Jaipur,B30,56+,Female,39.9,Mandate,Verified
INV009976,2024-06-02,119599,Lumpsum,245644,MP,Bhopal,B30,36-45,Female,146.3,Net Banking,Verified
INV001070,2024-04-22,120504,Lumpsum,411477,Karnataka,Bangalore,T30,18-25,Female,48.3,UPI,Verified
INV006489,2025-09-16,119084,Lumpsum,113751,Tamil Nadu,Chennai,T30,56+,Female,129.6,Net Banking,Verified
INV007947,2025-01-26,120503,SIP,50207,Tamil Nadu,Chennai,T30,36-45,Female,17.9,Net Banking,Verified
INV004185,2022-06-12,125123,Redemption,170949,Bihar,Patna,B30,26-35,Male,139.3,Mandate,Verified
INV001593,2023-01-07,119551,Redemption,314561,Maharashtra,Mumbai,T30,26-35,Male,85.4,Net Banking,Verified
INV008365,2023-06-28,118632,SIP,192719,Bihar,Patna,B30,18-25,Female,35.7,Cheque,Pending
INV001650,2023-01-14,118636,Lumpsum,377079,Delhi,Delhi,T30,18-25,Male,138.4,UPI,Pending
INV008199,2024-03-29,120190,Redemption,156726,Bihar,Patna,B30,46-55,Female,109.5,Mandate,Pending
INV007100,2024-07-27,118456,SIP,268298,Haryana,Faridabad,B30,56+,Male,122.9,Net Banking,Verified
INV004434,2024-03-13,125498,SIP,255728,Delhi,Delhi,T30,56+,Female,10.2,Mandate,Verified
INV002412,2024-12-09,120842,Redemption,303398,MP,Bhopal,B30,26-35,Female,130.4,Net Banking,Verified
INV009417,2023-02-08,119598,Lumpsum,235853,Gujarat,Ahmedabad,T30,26-35,Male,83.3,Net Banking,Pending
INV008413,2025-08-22,125498,SIP,69131,Kerala,Kochi,T30,26-35,Female,90.6,UPI,Pending
INV001705,2023-02-05,118633,SIP,47045,MP,Bhopal,B30,56+,Male,139.9,Cheque,Pending
INV006003,2025-12-21,120679,SIP,207222,Karnataka,Bangalore,T30,26-35,Female,91.9,Net Banking,Verified
INV003401,2025-01-23,119084,Redemption,365257,Rajasthan,Jaipur,B30,46-55,Female,149.0,Cheque,Verified
INV007108,2024-04-16,120503,Redemption,331269,Kerala,Kochi,T30,56+,Female,64.9,Cheque,Verified
INV009729,2023-07-20,118989,SIP,33718,Gujarat,Ahmedabad,T30,36-45,Male,60.8,Net Banking,Pending
INV003750,2022-03-07,118990,SIP,8277,Telangana,Hyderabad,T30,56+,Male,26.2,Mandate,Verified
INV007672,2022-09-28,148923,SIP,17337,Maharashtra,Mumbai,T30,46-55,Male,80.1,Net Banking,Pending
INV008067,2024-04-22,119598,SIP,55158,Gujarat,Ahmedabad,T30,18-25,Male,126.4,Cheque,Pending
INV009498,2024-09-15,125124,Lumpsum,144688,MP,Bhopal,B30,36-45,Female,97.3,UPI,Verified
INV009572,2024-05-27,125124,SIP,320797,Bihar,Patna,B30,26-35,Male,51.3,UPI,Verified
INV006574,2022-01-25,119552,Lumpsum,120139,Delhi,Delhi,T30,46-55,Male,103.1,Cheque,Pending
INV001447,2023-11-21,118457,SIP,74583,Telangana,Hyderabad,T30,36-45,Male,41.8,Mandate,Verified
INV004672,2025-05-15,125355,SIP,161816,MP,Bhopal,B30,26-35,Male,94.5,Mandate,Verified
INV006928,2024-07-23,118456,Lumpsum,218558,Karnataka,Bangalore,T30,26-35,Female,141.5,Mandate,Pending
INV007371,2024-10-15,118990,Redemption,68184,Gujarat,Ahmedabad,T30,36-45,Female,42.4,UPI,Verified
INV007308,2025-07-06,119271,Redemption,459466,Gujarat,Ahmedabad,T30,36-45,Female,126.0,Mandate,Verified
INV003124,2022-07-08,118636,Lumpsum,299880,Bihar,Patna,B30,46-55,Male,102.9,Mandate,Verified
INV001066,2023-05-29,125498,Redemption,5900,Punjab,Amritsar,B30,18-25,Female,44.5,Cheque,Verified
INV005897,2025-02-07,125354,Redemption,266904,Kerala,Kochi,T30,36-45,Female,103.2,Cheque,Verified
INV002435,2023-02-16,119775,SIP,323603,MP,Bhopal,B30,46-55,Female,94.8,Net Banking,Pending
INV008888,2024-12-15,119551,Redemption,251403,Kerala,Kochi,T30,56+,Male,110.2,Net Banking,Verified
INV008864,2024-09-02,118632,SIP,207572,Rajasthan,Jaipur,B30,26-35,Female,37.1,Net Banking,Pending
INV006982,2024-01-31,125497,SIP,7571,Punjab,Amritsar,B30,36-45,Female,106.5,UPI,Pending
INV005578,2025-01-27,118456,SIP,36007,Karnataka,Bangalore,T30,26-35,Female,109.1,UPI,Verified
INV002150,2024-10-14,119272,Lumpsum,401180,Delhi,Delhi,T30,56+,Male,42.7,UPI,Verified
INV002183,2023-06-20,148567,SIP,428979,Gujarat,Ahmedabad,T30,56+,Female,106.4,Cheque,Pending
INV004420,2025-11-19,118633,Lumpsum,274236,Haryana,Faridabad,B30,56+,Male,87.2,Mandate,Verified
INV005009,2023-04-02,120504,SIP,59374,Kerala,Kochi,T30,56+,Male,41.8,Mandate,Verified
INV006426,2023-10-22,118457,SIP,90739,West Bengal,Kolkata,B30,46-55,Female,7.0,Cheque,Pending
INV009549,2022-09-26,120842,SIP,445857,Gujarat,Ahmedabad,T30,46-55,Male,16.2,Net Banking,Verified
INV001479,2025-06-20,120503,SIP,79088,Rajasthan,Jaipur,B30,26-35,Male,95.0,Mandate,Verified
INV009035,2025-02-23,118990,Lumpsum,144477,Punjab,Amritsar,B30,18-25,Male,7.7,UPI,Pending
INV001491,2022-10-21,120504,SIP,136379,Bihar,Patna,B30,18-25,Female,72.1,Net Banking,Pending
INV003932,2023-09-27,119776,Redemption,48337,Punjab,Amritsar,B30,18-25,Male,88.5,Net Banking,Verified
INV007569,2025-04-11,119093,Redemption,21202,Rajasthan,Jaipur,B30,26-35,Female,65.2,UPI,Verified
INV008937,2025-03-10,148568,Redemption,106459,MP,Bhopal,B30,26-35,Female,140.6,Cheque,Verified
INV003922,2022-11-17,119271,Redemption,225090,MP,Bhopal,B30,56+,Female,95.2,Cheque,Verified
INV005752,2024-06-08,119084,Lumpsum,28694,Haryana,Faridabad,B30,26-35,Female,131.2,Mandate,Verified
INV005401,2023-10-02,119552,SIP,261495,Kerala,Kochi,T30,36-45,Male,119.3,Mandate,Verified
INV005333,2023-05-08,118456,SIP,325050,Bihar,Patna,B30,36-45,Female,63.3,Cheque,Verified
INV009336,2025-07-03,148568,Redemption,53466,Punjab,Amritsar,B30,36-45,Female,124.0,UPI,Verified
INV001377,2025-01-16,120841,SIP,188679,Gujarat,Ahmedabad,T30,46-55,Male,135.7,Cheque,Pending
INV006978,2023-12-18,118456,SIP,196141,Tamil Nadu,Chennai,T30,56+,Female,50.9,Net Banking,Verified
INV001970,2025-05-07,118633,SIP,25006,Haryana,Faridabad,B30,36-45,Female,40.1,Mandate,Verified
INV003943,2023-05-13,119272,SIP,383867,MP,Bhopal,B30,26-35,Female,141.9,UPI,Verified
INV003079,2023-04-22,119272,Lumpsum,221881,Telangana,Hyderabad,T30,36-45,Male,58.9,Cheque,Verified
INV008748,2022-12-25,125124,Redemption,407147,West Bengal,Kolkata,B30,36-45,Female,46.0,UPI,Verified
INV009412,2025-07-08,125498,Lumpsum,357356,Odisha,Bhubaneswar,B30,36-45,Male,25.5,Mandate,Verified
INV009470,2023-01-05,148568,SIP,424477,West Bengal,Kolkata,B30,18-25,Male,84.1,Cheque,Verified
INV006012,2025-10-05,120678,SIP,190816,UP,Lucknow,B30,36-45,Male,132.6,UPI,Pending
INV003143,2024-04-24,119085,SIP,10042,Odisha,Bhubaneswar,B30,56+,Female,104.2,UPI,Verified
INV007790,2024-12-08,148567,SIP,176906,Bihar,Patna,B30,36-45,Female,5.1,Mandate,Verified
INV002541,2022-03-31,119776,SIP,366462,Odisha,Bhubaneswar,B30,26-35,Male,43.1,UPI,Pending
INV002121,2025-06-21,120503,Lumpsum,189805,UP,Lucknow,B30,36-45,Male,90.1,Net Banking,Verified
INV006096,2022-01-15,120504,Redemption,106259,UP,Lucknow,B30,46-55,Male,60.6,UPI,Verified
INV006254,2025-09-17,119092,Lumpsum,106635,MP,Bhopal,B30,46-55,Female,40.8,Mandate,Pending
INV008360,2025-04-29,118636,Redemption,173151,Delhi,Delhi,T30,46-55,Female,43.1,UPI,Pending
INV008902,2025-03-30,119271,SIP,327633,Karnataka,Bangalore,T30,36-45,Female,103.6,Cheque,Verified
INV007024,2024-07-08,118636,SIP,286730,Karnataka,Bangalore,T30,26-35,Female,86.4,UPI,Verified
INV003490,2024-03-27,119552,Redemption,484729,Bihar,Patna,B30,18-25,Male,97.8,Mandate,Verified
INV006414,2025-10-22,118632,SIP,31585,Rajasthan,Jaipur,B30,26-35,Male,26.6,Net Banking,Verified
INV003204,2022-08-28,118456,SIP,441425,Haryana,Faridabad,B30,26-35,Female,59.6,Net Banking,Verified
INV009209,2025-01-29,120678,SIP,189503,Kerala,Kochi,T30,46-55,Male,38.9,Net Banking,Verified
INV009786,2025-12-26,125354,Lumpsum,306964,Rajasthan,Jaipur,B30,26-35,Female,48.5,Cheque,Verified
INV006112,2022-04-02,119552,Redemption,495442,Rajasthan,Jaipur,B30,56+,Female,16.6,UPI,Verified
INV005524,2022-08-31,119093,Redemption,11576,Tamil Nadu,Chennai,T30,46-55,Female,108.9,UPI,Verified
INV001664,2025-12-28,148567,Lumpsum,164141,Rajasthan,Jaipur,B30,26-35,Male,61.3,Net Banking,Pending
INV009440,2025-02-05,118457,SIP,145992,MP,Bhopal,B30,36-45,Female,55.0,Cheque,Pending
INV002097,2025-08-23,125497,Redemption,419934,Maharashtra,Mumbai,T30,36-45,Male,11.5,UPI,Verified
INV005384,2025-11-05,119084,Redemption,29823,Kerala,Kochi,T30,36-45,Male,41.0,Mandate,Verified
INV002777,2024-10-29,119598,Redemption,29892,West Bengal,Kolkata,B30,56+,Male,123.1,Net Banking,Verified
INV006076,2024-12-23,148568,Lumpsum,71187,Maharashtra,Mumbai,T30,56+,Male,60.4,Net Banking,Pending
INV002920,2025-11-24,148924,SIP,285554,Telangana,Hyderabad,T30,26-35,Female,69.0,Mandate,Verified
INV005280,2025-10-31,120465,SIP,365324,Tamil Nadu,Chennai,T30,56+,Male,20.8,Mandate,Verified
INV003440,2025-03-30,125497,SIP,360965,West Bengal,Kolkata,B30,18-25,Male,55.6,Mandate,Verified
INV005999,2025-06-23,119552,Lumpsum,359386,Maharashtra,Mumbai,T30,46-55,Male,5.4,Net Banking,Verified
INV008781,2022-04-16,120189,SIP,300987,Odisha,Bhubaneswar,B30,36-45,Female,11.4,Cheque,Pending
INV004108,2025-04-20,118457,SIP,177737,West Bengal,Kolkata,B30,56+,Male,45.0,Cheque,Verified
INV004348,2023-03-02,118633,Redemption,2858,Rajasthan,Jaipur,B30,26-35,Male,80.0,UPI,Verified
INV001901,2023-09-27,125354,SIP,371159,Odisha,Bhubaneswar,B30,36-45,Female,139.5,Cheque,Pending
INV009407,2024-01-03,120466,SIP,210375,West Bengal,Kolkata,B30,18-25,Female,103.1,Cheque,Verified
INV007069,2024-05-01,125124,SIP,308953,Haryana,Faridabad,B30,56+,Female,17.6,UPI,Verified
INV002135,2022-10-06,119093,SIP,267949,Karnataka,Bangalore,T30,26-35,Male,5.4,Cheque,Verified
INV005364,2023-03-27,120466,Redemption,19562,Telangana,Hyderabad,T30,18-25,Female,105.8,Cheque,Verified
INV008223,2023-03-13,148923,SIP,396602,UP,Lucknow,B30,26-35,Male,96.7,Mandate,Verified
INV009965,2025-06-20,119092,Lumpsum,307695,Odisha,Bhubaneswar,B30,36-45,Male,111.2,Net Banking,Pending
INV008591,2022-09-29,119093,SIP,265058,Kerala,Kochi,T30,46-55,Male,78.0,Mandate,Verified
INV007567,2022-01-19,118636,Lumpsum,256379,West Bengal,Kolkata,B30,46-55,Female,62.5,UPI,Verified
INV006801,2025-08-13,120842,SIP,37528,Rajasthan,Jaipur,B30,18-25,Female,42.1,Mandate,Verified
INV007499,2024-11-01,120504,SIP,198404,Delhi,Delhi,T30,36-45,Female,92.5,UPI,Verified
INV005467,2025-08-28,148924,SIP,218177,Telangana,Hyderabad,T30,56+,Male,137.7,Cheque,Pending
INV004189,2022-10-31,119599,SIP,29216,Telangana,Hyderabad,T30,46-55,Female,36.0,Net Banking,Verified
INV007293,2022-02-01,148567,Lumpsum,454135,West Bengal,Kolkata,B30,46-55,Male,111.7,Net Banking,Verified
INV002929,2024-10-02,148924,Lumpsum,337901,Maharashtra,Mumbai,T30,46-55,Male,26.8,UPI,Verified
INV001672,2022-10-21,125497,SIP,451665,Telangana,Hyderabad,T30,46-55,Female,132.3,Cheque,Verified
INV009662,2025-06-23,120678,Lumpsum,26120,Haryana,Faridabad,B30,46-55,Male,3.3,UPI,Pending
INV008253,2022-03-17,120678,Redemption,42394,Maharashtra,Mumbai,T30,18-25,Female,46.8,Net Banking,Verified
INV001297,2025-04-07,119599,SIP,188350,Bihar,Patna,B30,36-45,Male,71.1,UPI,Verified
INV001053,2025-01-14,125355,SIP,366362,MP,Bhopal,B30,46-55,Male,119.3,Mandate,Verified
INV007802,2023-02-11,148568,SIP,47870,MP,Bhopal,B30,26-35,Female,138.7,Cheque,Verified
INV001060,2022-08-27,118632,Redemption,73703,UP,Lucknow,B30,46-55,Female,69.4,Mandate,Verified
INV002435,2024-01-12,118636,SIP,294852,Maharashtra,Mumbai,T30,46-55,Male,66.8,UPI,Verified
INV007553,2023-12-15,120189,Redemption,68174,Kerala,Kochi,T30,26-35,Female,21.2,Mandate,Pending
INV008228,2023-12-01,148568,SIP,33338,Tamil Nadu,Chennai,T30,46-55,Female,102.6,Cheque,Pending
INV008260,2022-01-17,119598,SIP,182055,MP,Bhopal,B30,26-35,Female,98.5,Net Banking,Verified
INV004823,2023-06-05,148568,SIP,60266,Maharashtra,Mumbai,T30,26-35,Male,121.6,UPI,Pending
INV001332,2023-01-28,125355,Lumpsum,363562,UP,Lucknow,B30,56+,Male,11.7,Cheque,Verified
INV001296,2022-08-05,120841,SIP,125734,Bihar,Patna,B30,46-55,Male,23.5,Mandate,Verified
INV005067,2024-12-04,125123,SIP,122190,Haryana,Faridabad,B30,36-45,Male,28.9,Cheque,Pending
INV008341,2024-03-02,118633,SIP,72390,Karnataka,Bangalore,T30,46-55,Female,53.7,Mandate,Verified
INV009312,2022-12-06,125355,Lumpsum,108335,West Bengal,Kolkata,B30,18-25,Female,17.7,Cheque,Verified
INV005373,2025-06-02,118636,SIP,479614,Maharashtra,Mumbai,T30,36-45,Male,57.4,Net Banking,Pending
INV006923,2023-10-03,118989,Lumpsum,372830,Odisha,Bhubaneswar,B30,56+,Female,145.0,Mandate,Verified
INV002455,2024-04-24,119092,SIP,292045,Karnataka,Bangalore,T30,46-55,Male,13.6,Net Banking,Verified
INV009582,2024-05-09,119085,SIP,149366,Bihar,Patna,B30,56+,Female,145.9,UPI,Pending
INV009551,2023-08-13,119272,SIP,123095,Kerala,Kochi,T30,36-45,Male,118.1,Net Banking,Verified
INV008907,2024-04-21,118990,SIP,19294,Delhi,Delhi,T30,26-35,Male,98.4,Cheque,Verified
INV004529,2025-05-29,120503,SIP,191775,Punjab,Amritsar,B30,46-55,Male,100.7,Mandate,Verified
INV008018,2024-08-12,120841,Lumpsum,306395,UP,Lucknow,B30,26-35,Male,58.3,Cheque,Pending
INV008692,2024-04-26,118989,SIP,201697,Gujarat,Ahmedabad,T30,18-25,Male,137.9,Mandate,Verified
INV004690,2024-07-21,118456,SIP,48010,Bihar,Patna,B30,26-35,Male,32.3,UPI,Verified
INV002190,2022-06-14,125355,Lumpsum,424237,West Bengal,Kolkata,B30,46-55,Male,130.0,Net Banking,Verified
INV005042,2025-01-08,120841,SIP,390835,Bihar,Patna,B30,46-55,Female,111.7,Net Banking,Verified
INV002226,2024-04-06,119552,SIP,458015,Haryana,Faridabad,B30,18-25,Female,112.1,UPI,Pending
INV009667,2025-09-28,119599,SIP,200964,West Bengal,Kolkata,B30,56+,Male,38.7,Cheque,Verified
INV003292,2022-01-24,118989,Redemption,370570,Rajasthan,Jaipur,B30,56+,Female,94.1,Cheque,Verified
INV002722,2024-12-03,120679,SIP,225973,MP,Bhopal,B30,26-35,Male,142.4,Net Banking,Verified
INV002252,2023-12-17,118636,SIP,350232,Tamil Nadu,Chennai,T30,36-45,Male,32.2,Net Banking,Verified
INV005650,2022-10-23,119092,Lumpsum,269510,Kerala,Kochi,T30,36-45,Female,4.7,Mandate,Verified
INV007769,2024-05-27,119551,SIP,68123,Haryana,Faridabad,B30,18-25,Male,16.3,Mandate,Pending
INV002817,2025-11-11,118990,SIP,255291,Tamil Nadu,Chennai,T30,36-45,Female,15.4,Mandate,Verified
INV002099,2022-03-01,118456,Redemption,189063,Gujarat,Ahmedabad,T30,46-55,Male,50.9,Net Banking,Pending
INV008321,2024-07-28,119092,SIP,460519,Bihar,Patna,B30,36-45,Female,19.4,Mandate,Verified
INV004788,2024-12-03,119272,Lumpsum,479857,Telangana,Hyderabad,T30,46-55,Female,114.7,UPI,Verified
